"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","SignUp Functionality","1","0","Unsuccessful signup with empty firstname","0"
"0","","0","Reservations Functionality","5","0","Unsuccessful edit of a booked reservation by invalid entries","0"
"0","","0","Reservations Functionality","1","0","Successfully retrieve reservations","0"
"0","","0","Feedbacks Functionality","8","0","Unsuccessful feedback by invalid parameters","0"
"0","","0","API SignIn Functionality","5","0","Unsuccessful signIn attempts with invalid or incomplete credentials","0"
"0","","0","Reservations Functionality","1","0","Unsuccessful edit of a booked reservation done by another user","0"
"0","","0","Dishes Functionality","4","0","Successfully retrieve a particular dish","0"
"0","","0","Bookings Functionality","4","0","Unsuccessful booking of a table with invalid body parameters","0"
"0","","0","Dishes Functionality","6","0","Successfully retrieve dishes","0"
"0","","0","Locations Functionality","1","0","Successfully retrieve locations","0"
"0","","0","SignUp Functionality","6","0","Unsuccessful login with invalid password","0"
"0","","0","Feedbacks Functionality","1","0","Successfully leave a feedback for a particular reservation","0"
"0","","0","Locations Functionality","4","0","Successfully retrieve feedbacks of particular location","0"
"0","","0","Bookings Functionality","1","0","Successfully retrieve available tables for booking of current day","0"
"0","","0","SignUp Functionality","1","0","Unsuccessful login with empty lastname","0"
"0","","0","SignUp Functionality","1","0","Unsuccessful signUp with already registered email","0"
"0","","0","Locations Functionality","4","0","Successfully retrieve speciality dishes of particular location","0"
"0","","0","Locations Functionality","1","0","Successfully retrieve locations select options","0"
"0","","0","Dishes Functionality","1","0","Unsuccessful retrieval of dishes with invalid parameters","0"
"0","","0","Bookings Functionality","4","0","Validate error messages and while fetching bookings","0"
"0","","0","Dishes Functionality","1","0","Successfully retrieve popular dishes","0"
"0","","0","Reservations Functionality","1","0","Unsuccessful cancellation of a booked reservation from another user","0"
"0","","0","Reservations Functionality","1","0","CleanUp","0"
"0","","0","Bookings Functionality","1","0","Unsuccessful booking of a table without authorization token","0"
"0","","0","Reservations Functionality","1","0","Successfully edit a booked reservation of an user","0"
"0","","0","Reservations Functionality","1","0","Successfully cancel a booked reservation","0"
"0","","0","Bookings Functionality","1","0","Unsuccessful booking of a table with invalid authorization token","0"
"0","","0","SignUp Functionality","1","0","Unsuccessful login with invalid email","0"
"0","","0","Locations Functionality","2","0","Unsuccessful retrieval feedbacks of particular location with invalid parameters","0"
"0","","0","SignUp Functionality","1","0","Successful signUp with valid details","0"
"0","","0","Bookings Functionality","1","0","Successfully retrieve available tables for booking","0"
"0","","0","API SignIn Functionality","1","0","Successful signIn with valid credentials","0"
"0","","0","Feedbacks Functionality","1","0","Unsuccessful feedback by another user","0"
"0","","0","Reservations Functionality","1","0","Unsuccessful cancellation of a booked reservation from logged out user","0"
"0","","0","Bookings Functionality","1","0","Successful booking of a table with valid authorization token and valid parameters","0"
